;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
92;PS ZELLIGE TERRACOTA 20X20;"Armazem
1024,24";FHS01MB501 ;;;;;;;;;;;;
93;PS ZELLIGE BISCUIT MT 20X20;"Armazem
586,46";FHS01MBBI1 ;;;;;;;;;;;;
94;PS ZELLIGE DECOR BLUE MT 20X20;"Armazem
758,74";FHS02MB151 ;;;;;;;;;;;;
95;PSZELLIGE DECOR TERRACOTAMT20X20;"Armazem
490,88";FHS02MB501 ;;;;;;;;;;;;
96;PS ZELLIGE DECOR BISCUIT MT20X20;"Armazem
1358,18";FHS02MBBI1 ;;;;;;;;;;;;
97;PS SELVA MT 20X20;"Armazem
63,72";FHZ01MB991 ;;;;;;;;;;;;
98;Não encontrado;;FHZ02MB991 ;;;;;;;;;;;;
99;LM ALLURE ST 100X200 R;"Armazem
3092";FIC01ZF041 ;;;;;;;;;;;;
100;LM ALLURE MC 100X200 R;"Armazem
418";FIC02ZF041 ; 29/06/2022 ; 64 M2;;;;;;;;;;
101;PP BRICK LANE MOSS MT 7,5X30;"Armazem
194,82";FJD011P211 ; 30/05/2022 ; 197,59 M2;;;;;;;;;;
102;PP BRICK LANE COTTO MT 7,5X30;"Armazem
1729,92";FJD011P501 ;;;;;;;;;;;;
103;RV BLOCK WHITE MT 15,4X15,4;"Armazem
441,18";FJG0139011 ;;;;;;;;;;;;
104;RV BLOCK BLACK MT 15,4X15,4;"Armazem
317,34";FJG0139161 ;;;;;;;;;;;;
105;RV BLOCK OXIDE BR 15,4X15,4;"Armazem
161,68";FJG013921 ;;;;;;;;;;;;
106;RV BLOCK RUST BR 15,4X15,4;"Armazem
278,21";FJG0139251 ;;;;;;;;;;;;
107;PP CUBIC WHITE MT 30X60 R;"Armazem
783,36";FJH0157011 ;;;;;;;;;;;;
108;PP CUBIC STEEL COBRE 30X60 R;"Armazem
2253,60";FJH0257021 ;;;;;;;;;;;;
109;PP CUBIC STEEL IRON 30X60 R;"Armazem
0,72";FJH0357021 ; 31/08/2022 ; 1961,28 M2;;;;;;;;;;
